           y_out     y_out_norm         PT_out    density_out          u_out          v_out         ps_out          omega          angle
     0.03472500      0.1440588       7771.154     0.07961420       64.12388     -125.69892       6945.591    -0.00432573       -62.9721
     0.03842500      0.1394280       7771.092     0.07961677       64.11462     -125.67979       6945.761    -0.00425069       -62.9719
     0.04211000      0.1348160       7771.025     0.07961931       64.10476     -125.66046       6945.931    -0.00416862       -62.9719
     0.04578000      0.1302228       7770.946     0.07962180       64.09411     -125.64058       6946.101    -0.00407337       -62.9721
     0.04943500      0.1256483       7770.852     0.07962425       64.08248     -125.61977       6946.270    -0.00395838       -62.9725
     0.05307400      0.1210939       7770.725     0.07962661       64.06938     -125.59682       6946.440    -0.00380437       -62.9730
     0.05669700      0.1165594       7770.573     0.07962891       64.05501     -125.57235       6946.609    -0.00362015       -62.9737
     0.06030200      0.1120476       7770.401     0.07963115       64.03949     -125.54669       6946.778    -0.00341153       -62.9746
     0.06388800      0.1075594       7770.210     0.07963334       64.02281     -125.51994       6946.945    -0.00317899       -62.9756
     0.06745600      0.1030939       7770.000     0.07963549       64.00500     -125.49220       6947.112    -0.00292394       -62.9770
     0.07100400      0.0986533       7769.773     0.07963762       63.98606     -125.46340       6947.279    -0.00264794       -62.9785
     0.07455500      0.0942090       7769.527     0.07963973       63.96594     -125.43345       6947.446    -0.00234955       -62.9803
     0.07810400      0.0897672       7769.260     0.07964175       63.94460     -125.40233       6947.613    -0.00202547       -62.9823
     0.07810400      0.0897672       7769.260     0.07964175       63.94460     -125.40233       6947.613    -0.00202547       -62.9823
     0.08145500      0.0855732       7768.990     0.07964368       63.92354     -125.37196       6947.767    -0.00169690       -62.9843
     0.08437900      0.0819136       7768.742     0.07964535       63.90458     -125.34474       6947.901    -0.00139586       -62.9861
     0.08699300      0.0786421       7768.513     0.07964683       63.88728     -125.32003       6948.019    -0.00111809       -62.9878
     0.08934300      0.0757009       7768.302     0.07964814       63.87147     -125.29756       6948.125    -0.00086224       -62.9894
     0.09147000      0.0730388       7768.109     0.07964933       63.85702     -125.27710       6948.221    -0.00062796       -62.9909
